"Copyright (c) 2017 salesforce.com inc.
All rights reserved.
Licensed under the BSD 3-Clause license. 
For full license text see LICENSE.txt file in the repo root or https://opensource.org/licenses/BSD-3-Clause",
61d50e7771aee7f2f4b89a7200b4d45e,"AcroCEF"
49a6cf42956937669a01438f26e7c609,"AIM"
561145462cfc7de1d6a97e93d3264786,"Airmail 3"
f6fd83a21f9f3c5f9ff7b5c63bbc179d,"Alation Compose"
6003b52942a2e1e1ea72d802d153ec08,"Amazon Music"
eb149984fc9c44d85ed7f12c90d818be,"Amazon Music,Dreamweaver,Spotify"
8e3f1bf87bc652a20de63bfd4952b16a,"AnypointStudio"
5507277945374659a5b4572e1b6d9b9f,"apple.geod"
f753495f2eab5155c61b760c838018f8,"apple.geod"
ba40fea2b2638908a3b3b482ac78d729,"apple.geod,parsecd,apple.photomoments"
474e73aea21d1e0910f25c3e6c178535,"apple.WebKit.Networking"
eeeb5e7485f5e10cbc39db4cfb69b264,"apple.WebKit.Networking"
d4693422c5ce1565377aca25940ad80c,"apple.WebKit.Networking,CalendarAgent,Go for Gmail"
63de2b6188d5694e79b678f585b13264,"apple.WebKit.Networking,Chatter,FieldServiceApp,socialstudio"
3e4e87dda5a3162306609b7e330441d2,"apple.WebKit.Networking,itunesstored"
7b343af1092863fdd822d6f10645abfb,"apple.WebKit.Networking,itunesstored"
a312f9162a08eeedf7feb7a13cd7e9bb,"apple.WebKit.Networking,Spotify,WhatsApp,Skype,iTunes"
c5c11e6105c56fd29cc72c3ac7a2b78b,"AT&T Connect"
fa030dbcb2e3c7141d3c2803780ee8db,"Battle.net,Dropbox"
0ef9ca1c10d3f186f5786e1ef3461a46,"bitgo,ShapeShift"
cdec81515ccc75a5aa41eb3db22226e6,"BlueJeans,CEPHtmlEngine"
83e04bc58d402f9633983cbf22724b02,"Charles,Google Play Music Desktop Player,Postman,Slack,and other desktop programs"
424008725394c634a4616b8b1f2828a5,"Charles,java,eclipse"
be9f1360cf52dc1f61ae025252f192a3,"Chromium"
def8761e4bcaaf91d99801a22ac6f6d4,"Chromium"
fc5cb0985a5f5e295163cc8ffff8a6e1,"Chromium"
e7d46c98b078477c4324031e0d3b22f5,"Cisco AnyConnect Secure Mobility Client"
ed36017db541879619c399c95e22067d,"Cisco AnyConnect Secure Mobility Client"
5ee1a653fb824db7182714897fd3b5df,"Citrix Viewer"
a9d17f74e55dd53fcf7c234f8a240919,"Covenant Eyes"
c882d9444412c00e71b643f3f54145ff,"Creative Cloud"
bc0608d33dc64506b42f7f5f87958f37,"cscan"
ccaa60f6ccc701bde536ef409be3cf63,"curl no-SNI"
fe048fe8faf797796e278f2b4f1e9c24,"curl SNI"
4fcd1770545298cc119865aeba81daba,"Deezer"
4c40bf8baa7c301c5dba8a20bc4119e2,"Dynalist,Postman,Google Chrome,Franz,GOG Galaxy"
0411bbb5ff27ad46e1874a7a8beedacb,"eclipse"
4990c9da08f44a01ecd7ddc3837caf25,"eclipse"
fa106fe5beec443af7e211ef8902e7e0,"eclipse"
d74778f454e2b047e030b291b94dd698,"eclipse,java"
187dfde7edc8ceddccd3deeccc21daeb,"eclipse,java,studio,STS"
8c5a50f1e833ed581e9cfc690814719a,"eclipse,JavaApplicationStub,idea"
1fbe5382f9d8430fe921df747c46d95f,"FieldServiceApp,socialstudio"
0a81538cf247c104edb677bdb8902ed5,"firefox"
0b6592fd91d4843c823b75e49b43838d,"firefox"
0ffee3ba8e615ad22535e7f771690a28,"firefox"
1c15aca4a38bad90f9c40678f6aface9,"firefox"
5163bc7c08f57077bc652ec370459c2f,"firefox"
a88f1426c4603f2a8cd8bb41e875cb75,"firefox"
b03910cc6de801d2fcfa0c3b9f397df4,"firefox"
bfcc1a3891601edb4f137ab7ab25b840,"firefox"
ce694315cbb81ce95e6ae4ae8cbafde6,"firefox"
f15797a734d0b4f171a86fd35c9a5e43,"firefox"
07b4162d4db57554961824a21c4a0fde,"firefox,thunderbird"
61d0d709fe7ac199ef4b2c52bc8cef75,"firefox,thunderbird"
8498fe4268764dbf926a38283e9d3d8f,"Franz,Google Chrome,Kiwi,Spotify,nwjs,Slack"
900c1fa84b4ea86537e1d148ee16eae8,"Fuze"
107144b88827da5da9ed42d8776ccdc5,"geod"
c46941d4de99445aef6b497679474cf4,"geod"
002205d0f96c37c5e660b9f041363c11,"Google Chrome"
073eede15b2a5a0302d823ecbd5ad15b,"Google Chrome"
0b61c673ee71fe9ee725bd687c455809,"Google Chrome"
6cd1b944f5885e2cfbe98a840b75eeb8,"Google Chrome"
94c485bca29d5392be53f2b8cf7f4304,"Google Chrome"
b4f4e6164f938870486578536fc1ffce,"Google Chrome"
b8f81673c0e1d29908346f3bab892b9b,"Google Chrome"
baaac9b6bf25ad098115c71c59d29e51,"Google Chrome"
bc6c386f480ee97b9d9e52d472b772d8,"Google Chrome"
da949afd9bd6df820730f8f171584a71,"Google Chrome"
f58966d34ff9488a83797b55c804724d,"Google Chrome"
fd6314b03413399e4f23d1524d206692,"Google Chrome"
0e46737668fe75092919ee047a0b5945,"Google Chrome Helper"
39fa85654105398ee7ef6a3a1c81d685,"Google Chrome Helper"
4ba7b7022f5f5e1e500bb19199d8b1a4,"Google Chrome Helper"
5498cef2cca704eb01cf2041cc1089c1,"Google Chrome,Slack"
d27fb8deca6e3b9739db3fda2b229fe3,"Google Drive File Stream"
ae340571b4fd0755c4a0821b18d8fa93,"Google Earth"
f059212ce3de94b1e8253a7522cb1b44,"Google Photos Backup"
fd10cc8cce9493a966c57249e074755f,"gramblr"
3e860202fc555b939e83e7a7ab518c38,"hola_svc"
56ac3a0bef0824c49e4b569941937088,"hola_svc"
5c1c89f930122bccc7a97d52f73bea2c,"hola_svc"
77310efe11f1943306ee317cf02150b7,"hola_svc"
8bd59c4b7f3193db80fd64318429bcec,"hola_svc"
d1f9f9b224387d2597f02095fcec96d7,"hola_svc"
ff1040ba1e3d235855ef0d7cd9237fdc,"hola_svc"
5af143afdbf58ec11ab3b3d53dd4e5e3,"IDSyncDaemon"
